             SNP &       times sig. \\
        16894095 &               28 \\
        16894106 &               87 \\
        16897515 &               78 \\
        17312661 &               26 \\
        17597926 &               69 \\
        17693963 &              100 \\
        17720293 &              100 \\
        17749927 &              100 \\
        17750424 &              100 \\

Results of robustness analysis while changing alpha and PFER
Total Number of Attempts: 100
The results displayed show the number of time each particular SNP was declared significant.
